PERMNO,date,TICKER,COMNAM,CUSIP,FACPR,PRC,CFACPR
14593,19990625,AAPL,APPLE COMPUTER INC,3783310,,42.1875,28
14593,19990628,AAPL,APPLE COMPUTER INC,3783310,,42.5625,28
14593,19990629,AAPL,APPLE COMPUTER INC,3783310,,45.375,28
14593,19990630,AAPL,APPLE COMPUTER INC,3783310,,46.3125,28
14593,19990701,AAPL,APPLE COMPUTER INC,3783310,,45.3125,28
14593,19990702,AAPL,APPLE COMPUTER INC,3783310,,46.3125,28
14593,19990706,AAPL,APPLE COMPUTER INC,3783310,,47.375,28
14593,19990707,AAPL,APPLE COMPUTER INC,3783310,,49.875,28
14593,19990708,AAPL,APPLE COMPUTER INC,3783310,,54.5,28
14593,19990709,AAPL,APPLE COMPUTER INC,3783310,,55.625,28
14593,19990712,AAPL,APPLE COMPUTER INC,3783310,,54.5,28
14593,19990713,AAPL,APPLE COMPUTER INC,3783310,,53.6875,28
14593,19990714,AAPL,APPLE COMPUTER INC,3783310,,55.9375,28
14593,19990715,AAPL,APPLE COMPUTER INC,3783310,,53.25,28
14593,19990716,AAPL,APPLE COMPUTER INC,3783310,,53.0625,28
14593,19990719,AAPL,APPLE COMPUTER INC,3783310,,54.4375,28
14593,19990720,AAPL,APPLE COMPUTER INC,3783310,,52.875,28
14593,19990721,AAPL,APPLE COMPUTER INC,3783310,,54.0625,28
14593,19990722,AAPL,APPLE COMPUTER INC,3783310,,52.375,28
14593,19990723,AAPL,APPLE COMPUTER INC,3783310,,53.3125,28
14593,19990726,AAPL,APPLE COMPUTER INC,3783310,,50.9375,28
14593,19990727,AAPL,APPLE COMPUTER INC,3783310,,53.6875,28
14593,19990728,AAPL,APPLE COMPUTER INC,3783310,,54.375,28
14593,19990729,AAPL,APPLE COMPUTER INC,3783310,,53.875,28
14593,19990730,AAPL,APPLE COMPUTER INC,3783310,,55.6875,28
14593,19990802,AAPL,APPLE COMPUTER INC,3783310,,55.75,28
14593,19990803,AAPL,APPLE COMPUTER INC,3783310,,55.25,28
14593,19990804,AAPL,APPLE COMPUTER INC,3783310,,53.8125,28
14593,19990805,AAPL,APPLE COMPUTER INC,3783310,,54.75,28
14593,19990806,AAPL,APPLE COMPUTER INC,3783310,,54.125,28
14593,19990809,AAPL,APPLE COMPUTER INC,3783310,,54.4375,28
14593,19990810,AAPL,APPLE COMPUTER INC,3783310,,55.375,28
14593,19990811,AAPL,APPLE COMPUTER INC,3783310,,59.6875,28
14593,19990812,AAPL,APPLE COMPUTER INC,3783310,,60,28
14593,19990813,AAPL,APPLE COMPUTER INC,3783310,,60.0625,28
14593,19990816,AAPL,APPLE COMPUTER INC,3783310,,60.5,28
14593,19990817,AAPL,APPLE COMPUTER INC,3783310,,60.3125,28
14593,19990818,AAPL,APPLE COMPUTER INC,3783310,,60.125,28
14593,19990819,AAPL,APPLE COMPUTER INC,3783310,,58.75,28
14593,19990820,AAPL,APPLE COMPUTER INC,3783310,,59.1875,28
14593,19990823,AAPL,APPLE COMPUTER INC,3783310,,60.75,28
14593,19990824,AAPL,APPLE COMPUTER INC,3783310,,60.375,28
14593,19990825,AAPL,APPLE COMPUTER INC,3783310,,61.375,28
14593,19990826,AAPL,APPLE COMPUTER INC,3783310,,62.125,28
14593,19990827,AAPL,APPLE COMPUTER INC,3783310,,64.75,28
14593,19990830,AAPL,APPLE COMPUTER INC,3783310,,62.0625,28
14593,19990831,AAPL,APPLE COMPUTER INC,3783310,,65.25,28
14593,19990901,AAPL,APPLE COMPUTER INC,3783310,,68.625,28
14593,19990902,AAPL,APPLE COMPUTER INC,3783310,,70.5625,28
14593,19990903,AAPL,APPLE COMPUTER INC,3783310,,73.5,28
14593,19990907,AAPL,APPLE COMPUTER INC,3783310,,76.375,28
14593,19990908,AAPL,APPLE COMPUTER INC,3783310,,74.5,28
14593,19990909,AAPL,APPLE COMPUTER INC,3783310,,75.5625,28
14593,19990910,AAPL,APPLE COMPUTER INC,3783310,,77.4375,28
14593,19990913,AAPL,APPLE COMPUTER INC,3783310,,75,28
14593,19990914,AAPL,APPLE COMPUTER INC,3783310,,77.8125,28
14593,19990915,AAPL,APPLE COMPUTER INC,3783310,,75.375,28
14593,19990916,AAPL,APPLE COMPUTER INC,3783310,,76.8125,28
14593,19990917,AAPL,APPLE COMPUTER INC,3783310,,76.9375,28
14593,19990920,AAPL,APPLE COMPUTER INC,3783310,,79.0625,28
14593,19990921,AAPL,APPLE COMPUTER INC,3783310,,69.25,28
14593,19990922,AAPL,APPLE COMPUTER INC,3783310,,70.3125,28
14593,19990923,AAPL,APPLE COMPUTER INC,3783310,,63.3125,28
14593,19990924,AAPL,APPLE COMPUTER INC,3783310,,64.9375,28
14593,19990927,AAPL,APPLE COMPUTER INC,3783310,,61.3125,28
14593,19990928,AAPL,APPLE COMPUTER INC,3783310,,59.625,28
14593,19990929,AAPL,APPLE COMPUTER INC,3783310,,59.0625,28
14593,19990930,AAPL,APPLE COMPUTER INC,3783310,,63.3125,28
14593,19991001,AAPL,APPLE COMPUTER INC,3783310,,61.71875,28
14593,19991004,AAPL,APPLE COMPUTER INC,3783310,,64.5625,28
14593,19991005,AAPL,APPLE COMPUTER INC,3783310,,67.9375,28
14593,19991006,AAPL,APPLE COMPUTER INC,3783310,,67.1875,28
14593,19991007,AAPL,APPLE COMPUTER INC,3783310,,66.375,28
14593,19991008,AAPL,APPLE COMPUTER INC,3783310,,65.5625,28
14593,19991011,AAPL,APPLE COMPUTER INC,3783310,,66.6875,28
14593,19991012,AAPL,APPLE COMPUTER INC,3783310,,67.6875,28
14593,19991013,AAPL,APPLE COMPUTER INC,3783310,,64.03125,28
14593,19991014,AAPL,APPLE COMPUTER INC,3783310,,73.1875,28
14593,19991015,AAPL,APPLE COMPUTER INC,3783310,,74.5625,28
14593,19991018,AAPL,APPLE COMPUTER INC,3783310,,73.25,28
14593,19991019,AAPL,APPLE COMPUTER INC,3783310,,68.5,28
14593,19991020,AAPL,APPLE COMPUTER INC,3783310,,75.125,28
14593,19991021,AAPL,APPLE COMPUTER INC,3783310,,76.125,28
14593,19991022,AAPL,APPLE COMPUTER INC,3783310,,73.9375,28
14593,19991025,AAPL,APPLE COMPUTER INC,3783310,,74.5,28
14593,19991026,AAPL,APPLE COMPUTER INC,3783310,,75.0625,28
14593,19991027,AAPL,APPLE COMPUTER INC,3783310,,76.375,28
14593,19991028,AAPL,APPLE COMPUTER INC,3783310,,77.875,28
14593,19991029,AAPL,APPLE COMPUTER INC,3783310,,80.125,28
14593,19991101,AAPL,APPLE COMPUTER INC,3783310,,77.625,28
14593,19991102,AAPL,APPLE COMPUTER INC,3783310,,80.25,28
14593,19991103,AAPL,APPLE COMPUTER INC,3783310,,81.5,28
14593,19991104,AAPL,APPLE COMPUTER INC,3783310,,83.625,28
14593,19991105,AAPL,APPLE COMPUTER INC,3783310,,88.3125,28
14593,19991108,AAPL,APPLE COMPUTER INC,3783310,,96.375,28
14593,19991109,AAPL,APPLE COMPUTER INC,3783310,,89.625,28
14593,19991110,AAPL,APPLE COMPUTER INC,3783310,,91.4375,28
14593,19991111,AAPL,APPLE COMPUTER INC,3783310,,92.25,28
14593,19991112,AAPL,APPLE COMPUTER INC,3783310,,90.625,28
14593,19991115,AAPL,APPLE COMPUTER INC,3783310,,89.4375,28
14593,19991116,AAPL,APPLE COMPUTER INC,3783310,,91.1875,28
14593,19991117,AAPL,APPLE COMPUTER INC,3783310,,90.25,28
14593,19991118,AAPL,APPLE COMPUTER INC,3783310,,89.625,28
14593,19991119,AAPL,APPLE COMPUTER INC,3783310,,92.4375,28
14593,19991122,AAPL,APPLE COMPUTER INC,3783310,,90.625,28
14593,19991123,AAPL,APPLE COMPUTER INC,3783310,,92.8125,28
14593,19991124,AAPL,APPLE COMPUTER INC,3783310,,94.6875,28
14593,19991126,AAPL,APPLE COMPUTER INC,3783310,,95.0625,28
14593,19991129,AAPL,APPLE COMPUTER INC,3783310,,94.5625,28
14593,19991130,AAPL,APPLE COMPUTER INC,3783310,,97.875,28
14593,19991201,AAPL,APPLE COMPUTER INC,3783310,,103.0625,28
14593,19991202,AAPL,APPLE COMPUTER INC,3783310,,110.1875,28
14593,19991203,AAPL,APPLE COMPUTER INC,3783310,,115,28
14593,19991206,AAPL,APPLE COMPUTER INC,3783310,,116,28
14593,19991207,AAPL,APPLE COMPUTER INC,3783310,,117.8125,28
14593,19991208,AAPL,APPLE COMPUTER INC,3783310,,110.0625,28
14593,19991209,AAPL,APPLE COMPUTER INC,3783310,,105.25,28
14593,19991210,AAPL,APPLE COMPUTER INC,3783310,,103,28
14593,19991213,AAPL,APPLE COMPUTER INC,3783310,,99,28
14593,19991214,AAPL,APPLE COMPUTER INC,3783310,,94.875,28
14593,19991215,AAPL,APPLE COMPUTER INC,3783310,,97,28
14593,19991216,AAPL,APPLE COMPUTER INC,3783310,,98.3125,28
14593,19991217,AAPL,APPLE COMPUTER INC,3783310,,100,28
14593,19991220,AAPL,APPLE COMPUTER INC,3783310,,98,28
14593,19991221,AAPL,APPLE COMPUTER INC,3783310,,102.5,28
14593,19991222,AAPL,APPLE COMPUTER INC,3783310,,99.9375,28
14593,19991223,AAPL,APPLE COMPUTER INC,3783310,,103.5,28
14593,19991227,AAPL,APPLE COMPUTER INC,3783310,,99.3125,28
14593,19991228,AAPL,APPLE COMPUTER INC,3783310,,98.1875,28
14593,19991229,AAPL,APPLE COMPUTER INC,3783310,,100.6875,28
14593,19991230,AAPL,APPLE COMPUTER INC,3783310,,100.3125,28
14593,19991231,AAPL,APPLE COMPUTER INC,3783310,,102.8125,28
